1	1	Address (General)	AFA	Johnson Controls Autobatterie GmbH	Am Leineufer 51			D	30419			Hannover		+49 511 975 01			
2	1	Address (General)	ALLMAKES		208, Rue Louis Armand			F	78955			Carrières Sous Poissy		01 39 70 51 47	01 39 70 51 15	www.allmakes.fr	christophe@allmakes-france.com
3	1	Address (General)	Ashuki (Branche Europe)		Heemstraweg 123c			NL	6651 KH			Druten		(+31)487588823	(+31)487515837	www.ashuki.eu	info@ashuki.eu
4	1	Address (General)	Berga	Johnson Controls Autobatterie GmbH	Gerwigstrasse 4			D	76437			Rastatt		07222156540	07222 156545		
5	1	Address (General)	Robert Bosch GmbH	Automotive Aftermarket	Auf der Breit 4		41 09 60	D	76227	76225	76209	Karlsruhe				www.bosch-automotive.com	
6	1	Address (General)	BSG	Basbug Oto Yedek Parca A.S.	Ataturk Mahallesi, Orhan Veli Caddesi	No: 19 Zemin Kat, Kirac Mevkii, Esenyurt		TR	34860			Istanbul	Turkey	+90 212 886 90 60	+90 212 886 90 65	www.basbug.com.tr	export@basbug.com.tr
7	1	Address (General)	EXIDE Technologies Transportation		ul.Gdynska 31/33			PL	61-016			Poznan		(061) 87 86 105	(061) 87 86 369	www.exide.pl	
8	1	Address (General)	COMLINE Auto Parts Ltd.		Comline Auto Parts, Sundon Park Road	Unit B1, Luton Enterprise Park			LU3 3GU			Luton	Bedfordshire	(44) 01582 578888	(44) 01582 578889	comline.uk.com	mail@comline.uk.com
9	1	Address (General)	CONTINENTAL	Continental Aftermarket GmbH	Guerickestrasse 7			D	60488			Frankfurt		+ 49 1805 221242	+ 49 69 761061	www.continental-corporation.com	
10	1	Address (General)	Delphi Technologies Aftermarket	Wireless House, Warwick Technology Park				GB	CV34 6DW			Warwick		+44 (0) 1926 470000		delphiautoparts.com	
11	1	Address (General)	EXIDE Technologies Transportation		im Thiergarten			D	63654			Budingen		+49 (0)60 42/81 371		www.exide.de	automotive@exide.de
